temple_id,name,category,city,area,state,country,deity,description,aarti_timings,timings,guidance,latitude,longitude,contact,youtube_url,images,is_verified
jyotirling-ramanathaswamy-temple-rameswaram,Ramanathaswamy Temple – Rameswaram,Jyotirlinga,Rameswaram,,Tamil Nadu,India,Lord Shiva,"Ramanathaswamy Temple on Rameswaram Island in Tamil Nadu is part of both the 12 Jyotirlingas and the Bada Char Dham. It boasts the longest corridor of any Hindu temple in the world with over 1,200 stone pillars.","{""Spatika Linga Darshan"": ""5:00 AM"", ""Kala Santhi Puja"": ""10:00 AM"", ""Ardha Jama Puja"": ""8:30 PM""}","{""Darshan"": ""5:00 AM - 1:00 PM, 3:00 PM - 9:00 PM""}",Reach Rameswaram station or Madurai Airport (170 km). Pilgrims traditionally bathe in the 22 holy wells (Teerthams) inside temple premises prior to main lingam darshan.,9.2881,79.3174,04573 221 223,,[],True
jyotirling-grishneshwar-temple-ellora,Grishneshwar Temple – Ellora,Jyotirlinga,Ellora,,Maharashtra,India,Lord Shiva,"Grishneshwar (Ghrushneshwar) Jyotirling near Chhatrapati Sambhaji Nagar (Aurangabad) is the 12th Jyotirlinga shrine. Rebuilt by Ahilyabai Holkar in red rock, it stands adjacent to the UNESCO World Heritage Ellora Caves.","{""Mangala Aarti"": ""5:30 AM"", ""Madhyan Aarti"": ""12:00 PM"", ""Sandhya Aarti"": ""7:30 PM""}","{""Darshan"": ""5:30 AM - 9:30 PM""}",Located 30 km from Chhatrapati Sambhaji Nagar railway station/airport. Traditional dress code is strictly observed for men entering the inner sanctum.,20.0258,75.178,+91-2437-244222,https://www.youtube.com/embed?listType=playlist&list=UUtiORDMKgWrRdmNnqreCEEg,[],True
chardham-badrinath-temple-uttarakhand,Badrinath Temple – Uttarakhand,Char Dham,Badrinath,,Uttarakhand,India,Lord Vishnu,"Badrinath Temple in Chamoli district sits along the Alaknanda River between Nar and Narayana mountain ranges. Dedicated to Lord Badrinarayana (Vishnu), it is the prime seat of Adi Shankaracharya's Char Dham circuit.","{""Maha Aarti"": ""6:00 AM"", ""Kapoor Aarti"": ""6:30 PM"", ""Shayan Aarti"": ""9:00 PM""}","{""Darshan"": ""4:30 AM - 1:00 PM, 4:00 PM - 9:00 PM""}",Travel by road from Haridwar/Rishikesh via Joshimath. The temple opens annually from April/May to November depending on astrological dates.,30.7433,79.4938,+91-135-2746847,,[],True
chardham-dwarkadhish-temple-dwarka,Dwarkadhish Temple – Dwarka,Char Dham,Dwarka,,Gujarat,India,Lord Krishna,"Shri Dwarkadhish Temple (Jagat Mandir) in Dwarka, Gujarat, is dedicated to Lord Krishna as the King of Dwarka. Situated at the confluence of Gomti River and Arabian Sea, its 52-yard flag changes five times daily.","{""Mangla Aarti"": ""6:30 AM"", ""Shringar Aarti"": ""10:30 AM"", ""Sandhya Aarti"": ""7:30 PM"", ""Shayan Aarti"": ""8:30 PM""}","{""Darshan"": ""6:00 AM - 1:00 PM, 5:00 PM - 9:30 PM""}",Easily accessible via Dwarka Railway Station. Early morning Mangla Aarti and evening Gomti Ghat aarti offer deep spiritual experiences.,22.2378,68.9678,+91-2892-234080,https://www.youtube.com/@shridwarkadhishmandirofficial,[],True
chardham-jagannath-temple-puri,Jagannath Temple – Puri,Char Dham,Puri,,Odisha,India,Lord Jagannath,"Jagannath Temple in Puri is a 12th-century marvel dedicated to Lord Jagannath, Balabhadra, and Subhadra. Celebrated globally for its magnificent annual Rath Yatra (Chariot Festival) and Mahaprasad cooked in earthen pots.","{""Mangala Aarti"": ""5:30 AM"", ""Madhyan Dhupa"": ""1:00 PM"", ""Sandhya Dhupa"": ""7:00 PM""}","{""Darshan"": ""5:30 AM - 10:00 PM""}","Reach Puri railway station (2.5 km) or Bhubaneswar airport (60 km). Leather items, cameras, and mobile phones are prohibited inside the shrine complex.",19.8049,85.8189,+91-6752-222002,https://www.youtube.com/embed/live_stream?channel=UCxnh8tVFUMlhruMpa7Bycng,[],True
chardham-yamunotri-temple-uttarakhand,Yamunotri Temple – Uttarakhand,Char Dham,Uttarkashi,,Uttarakhand,India,Goddess Yamuna,Yamunotri Temple in Uttarkashi district marks the origin of the sacred Yamuna River. Pilgrims cook rice in the boiling natural thermal springs of Surya Kund to offer as divine prasadam.,"{""Mangal Aarti"": ""6:30 AM"", ""Sandhya Aarti"": ""6:30 PM""}","{""Darshan"": ""6:00 AM - 8:00 PM""}","Reach Janki Chatti by vehicle from Dehradun/Barkot, then trek 6 km to Yamunotri shrine. Pony and palanquin services are readily available.",31.0142,78.4599,+91-1371-222226,,[],True
chardham-gangotri-temple-uttarakhand,Gangotri Temple – Uttarakhand,Char Dham,Uttarkashi,,Uttarakhand,India,Goddess Ganga,"Gangotri Temple, located at an elevation of 3,100 meters on the banks of Bhagirathi River in Uttarkashi, celebrates the earthly descent of holy Goddess Ganga from Lord Shiva's locks.","{""Mangal Aarti"": ""6:00 AM"", ""Sandhya Aarti"": ""6:30 PM""}","{""Darshan"": ""6:00 AM - 9:30 PM""}",Accessible directly by motorable road from Uttarkashi town (100 km). Pilgrims visit Bhagirath Shila near the temple where King Bhagirath meditated.,30.9947,78.9398,+91-1374-222212,,[],True
panchbhoota-ekambareswarar-temple-kanchipuram,Ekambareswarar Temple – Kanchipuram,Panch Bhoota Sthalam,Kanchipuram,,Tamil Nadu,India,Lord Shiva,"Ekambareswarar Temple in Kanchipuram represents the Earth element (Prithvi Stalam). Famous for its ancient 3,500-year-old mango tree whose four branches yield four different varieties of mangoes.","{""Ushathkalam"": ""6:00 AM"", ""Uchikalam"": ""12:00 PM"", ""Sayarakshai"": ""6:00 PM""}","{""Darshan"": ""6:00 AM - 12:30 PM, 4:00 PM - 8:30 PM""}","Located in central Kanchipuram silk town, 75 km from Chennai. Easily reachable by rail and national highway buses.",12.8438,79.7008,044 2722 2084,,[],True
panchbhoota-jambukeswarar-temple-thiruvanaikaval,Jambukeswarar Temple – Thiruvanaikaval,Panch Bhoota Sthalam,Tiruchirappalli,,Tamil Nadu,India,Lord Shiva,Jambukeswarar Temple (Thiruvanaikaval) in Trichy represents the Water element (Appu Stalam). An underground natural spring continuously flows under the sanctum sanctorum lingam.,"{""Kala Santhi"": ""8:00 AM"", ""Uchikalam"": ""12:00 PM"", ""Sayarakshai"": ""6:00 PM""}","{""Darshan"": ""5:30 AM - 1:00 PM, 3:00 PM - 8:30 PM""}",Located near Srirangam island in Trichy. Reach via Trichy Junction station (8 km) or Tiruchirappalli International Airport.,10.8533,78.7056,0431 223 0257,,[],True
panchbhoota-arunachaleswarar-temple-thiruvannamalai,Arunachaleswarar Temple – Thiruvannamalai,Panch Bhoota Sthalam,Thiruvannamalai,,Tamil Nadu,India,Lord Shiva,Arunachaleswarar Temple at the foot of Arunachala hill represents the Fire element (Agni Stalam). Renowned for its huge Karthigai Deepam festival where a massive beacon fire is lit on top of Arunachala hill.,"{""Ushathkalam"": ""5:30 AM"", ""Uchikalam"": ""11:30 AM"", ""Sayarakshai"": ""6:30 PM""}","{""Darshan"": ""5:30 AM - 12:30 PM, 3:30 PM - 9:30 PM""}",Located 185 km from Chennai. Millions of pilgrims perform the sacred 14 km Girivalam circumambulation around Arunachala hill on Full Moon nights.,12.2319,79.0677,04175 222 408,,[],True
panchbhoota-srikalahasteeswara-temple-srikalahasti,Srikalahasteeswara Temple – Srikalahasti,Panch Bhoota Sthalam,Srikalahasti,,Andhra Pradesh,India,Lord Shiva,Srikalahasteeswara Temple on the banks of Swarnamukhi River in Andhra Pradesh represents the Wind element (Vayu Stalam). Famous worldwide for performing Rahu-Ketu Sarpa Dosha Nivaran pujas.,"{""Pabavathnam"": ""6:00 AM"", ""Uchikalam"": ""11:00 AM"", ""Nithya Sandhya"": ""5:00 PM""}","{""Darshan"": ""6:00 AM - 9:00 PM""}",Located 36 km from Tirupati Balaji Temple. Well connected by road and Srikalahasti railway station.,13.7498,79.6984,08578 222 240,,[],True
panchbhoota-thillai-nataraja-temple-chidambaram,Thillai Nataraja Temple – Chidambaram,Panch Bhoota Sthalam,Chidambaram,,Tamil Nadu,India,Lord Shiva,Thillai Nataraja Temple in Chidambaram represents the Space element (Akasha Stalam) and the famous Chidambara Rahasyam. It depicts Lord Shiva performing the Cosmic Ananda Tandava dance as Nataraja.,"{""Kala Santhi"": ""6:00 AM"", ""Uchikalam"": ""12:00 PM"", ""Sayarakshai"": ""6:00 PM""}","{""Darshan"": ""6:00 AM - 12:00 PM, 5:00 PM - 10:00 PM""}",Located 215 km south of Chennai. Reached via Chidambaram railway station or buses from Pondicherry and Cuddalore.,11.3992,79.6935,04144 222 365,,[],True
ashtavinayak-mayureshwar-temple-morgaon,Mayureshwar Temple – Morgaon,Ashtavinayak,Morgaon,Pune District,Maharashtra,India,Lord Ganesha,Mayureshwar (Moreshwar) Temple in Morgaon is traditional first and starting shrine of Ashtavinayak yatra. Ganesha here rides a peacock (Mayura) and features three eyes.,"{""Kakad Aarti"": ""5:00 AM"", ""Madhyan Aarti"": ""12:00 PM"", ""Shej Aarti"": ""10:00 PM""}","{""Darshan"": ""5:00 AM - 10:00 PM""}",Located 65 km from Pune city in Baramati taluka. Regular buses and private cars ply from Swargate bus stand.,18.2758,74.3168,+91-2112-278222,,[],True
ashtavinayak-siddhivinayak-temple-siddhatek,Siddhivinayak Temple – Siddhatek,Ashtavinayak,Siddhatek,Ahmednagar District,Maharashtra,India,Lord Ganesha,Siddhivinayak Temple in Siddhatek is situated on the banks of Bhima River. It is unique as the only Ashtavinayak idol with trunk turned to the right side (Right-trunk Ganesha).,"{""Kakad Aarti"": ""5:30 AM"", ""Bhog Aarti"": ""12:30 PM"", ""Shej Aarti"": ""9:30 PM""}","{""Darshan"": ""5:30 AM - 9:30 PM""}",Located 20 km from Daund Junction railway station. Reachable via Shirur-Chaufula road.,18.5284,74.6628,+91-2487-236200,,[],True
ashtavinayak-ballaleshwar-temple-pali,Ballaleshwar Temple – Pali,Ashtavinayak,Pali,Raigad District,Maharashtra,India,Lord Ganesha,Ballaleshwar Temple in Pali is named after Ganesha's devoted young child worshipper Ballal. The temple complex features beautiful stone carved architectural halls and two holy water tanks.,"{""Kakad Aarti"": ""5:00 AM"", ""Madhyan Aarti"": ""12:00 PM"", ""Shej Aarti"": ""10:00 PM""}","{""Darshan"": ""5:00 AM - 10:00 PM""}",Located 110 km from Mumbai via Mumbai-Pune Expressway and Khopoli exit.,18.5367,73.2208,+91-2194-242220,,[],True
ashtavinayak-varadhavinayak-temple-mahad,Varadhavinayak Temple – Mahad,Ashtavinayak,Mahad,Raigad District,Maharashtra,India,Lord Ganesha,Varadhavinayak Temple in Mahad village near Khopoli grants all boons and wishes (Varada). An oil lamp (Nanda Deep) inside the sanctum has been burning continuously since 1892.,"{""Kakad Aarti"": ""5:00 AM"", ""Madhyan Aarti"": ""12:00 PM"", ""Shej Aarti"": ""9:00 PM""}","{""Darshan"": ""5:00 AM - 9:00 PM""}",Situated 80 km from Mumbai along the Mumbai-Pune highway near Karjat/Khopoli.,18.8074,73.2381,+91-2192-269265,,[],True
ashtavinayak-chintamani-temple-theur,Chintamani Temple – Theur,Ashtavinayak,Theur,Pune District,Maharashtra,India,Lord Ganesha,"Chintamani Temple in Theur, located at the confluence of Mula and Mutha rivers near Pune, is revered for bringing peace of mind and removing worries (Chinta).","{""Kakad Aarti"": ""5:00 AM"", ""Madhyan Aarti"": ""12:30 PM"", ""Shej Aarti"": ""10:00 PM""}","{""Darshan"": ""5:00 AM - 10:00 PM""}",Located just 25 km from Pune city center. Easily accessible by local PMT city buses and auto-rickshaws.,18.5262,73.9877,+91-20-26912300,,[],True
ashtavinayak-girijatmak-temple-lenyadri,Girijatmak Temple – Lenyadri,Ashtavinayak,Junnar,Pune District,Maharashtra,India,Lord Ganesha,"Girijatmak Temple in Lenyadri is carved out of a cave on a mountain cliff, making it the only Ashtavinayak shrine situated inside a Buddhist rock-cut cave complex.","{""Kakad Aarti"": ""6:00 AM"", ""Madhyan Aarti"": ""12:00 PM"", ""Shej Aarti"": ""8:30 PM""}","{""Darshan"": ""6:00 AM - 8:30 PM""}",Requires climbing 307 stone steps up Lenyadri hill near Junnar (95 km from Pune). Palanquin services available for elderly devotees.,19.2415,73.8864,+91-2132-222380,,[],True
ashtavinayak-vighnahar-temple-ozar,Vighnahar Temple – Ozar,Ashtavinayak,Ozar,Pune District,Maharashtra,India,Lord Ganesha,Vighnahar Temple in Ozar is situated on the banks of Kukadi River. Devotees worship Ganesha here as the destroyer of obstacles (Vighnaharta) who defeated demon Vighnasura.,"{""Kakad Aarti"": ""5:00 AM"", ""Madhyan Aarti"": ""12:00 PM"", ""Shej Aarti"": ""10:30 PM""}","{""Darshan"": ""5:00 AM - 10:30 PM""}",Located 85 km from Pune and 15 km from Junnar. Features golden dome mandap and fortified stone walls.,19.1868,73.9482,+91-2132-288440,,[],True
ashtavinayak-mahaganapati-temple-ranjangaon,Mahaganapati Temple – Ranjangaon,Ashtavinayak,Ranjangaon,Pune District,Maharashtra,India,Lord Ganesha,Mahaganapati Temple in Ranjangaon depicts Ganesha with 10 trunks and 20 hands in his powerful divine form invoked by Lord Shiva before destroying Tripurasura.,"{""Kakad Aarti"": ""5:30 AM"", ""Madhyan Aarti"": ""12:00 PM"", ""Shej Aarti"": ""10:00 PM""}","{""Darshan"": ""5:30 AM - 10:00 PM""}",Located 50 km from Pune along the Pune-Ahmednagar highway. Well serviced by Maharashtra state transit buses.,18.8475,74.2435,+91-2138-243200,,[],True
shaktipeeth-kamakhya-temple-guwahati,Kamakhya Temple – Guwahati,Shakti Peetha,Guwahati,,Assam,India,Goddess Kamakhya,"Kamakhya Temple on Nilachal Hill in Guwahati, Assam, is one of the oldest and most venerated Tantric Shakti Peethas (where Sati's Yoni fell). Host of the famed annual Ambubachi Mela festival.","{""Morning Aarti"": ""5:30 AM"", ""Bhog Aarti"": ""1:00 PM"", ""Sandhya Aarti"": ""6:30 PM""}","{""Darshan"": ""5:30 AM - 1:00 PM, 2:30 PM - 5:30 PM""}",Located 8 km from Guwahati Railway Station and 20 km from LGBI Airport. Special VIP line passes are available at temple counters.,26.1664,91.7067,0361 273 2782,,[],True
shaktipeeth-kalighat-kali-temple-kolkata,Kalighat Kali Temple – Kolkata,Shakti Peetha,Kolkata,,West Bengal,India,Goddess Kali,Kalighat Kali Temple on the banks of Adi Ganga canal in Kolkata is a premier Shakti Peetha where Sati's right toe fell. The sacred idol features a unique long golden tongue.,"{""Mangala Aarti"": ""4:00 AM"", ""Bhog Aarti"": ""2:00 PM"", ""Sandhya Aarti"": ""7:00 PM""}","{""Darshan"": ""5:00 AM - 2:00 PM, 5:00 PM - 10:30 PM""}","Accessible via Kalighat Metro Station in Kolkata. Expect large crowds on Tuesdays, Saturdays, and Kali Puja days.",22.5186,88.3426,+91-33-24641200,,[],True
shaktipeeth-tarapith-temple-birbhum,Tarapith Temple – Birbhum,Shakti Peetha,Tarapith,Birbhum,West Bengal,India,Goddess Tara,"Tarapith Temple in Birbhum, West Bengal, is a major Tantric shrine dedicated to Goddess Tara. Associated with legendary saint Bamakhepa who meditated at the adjacent cremation ground.","{""Mangala Aarti"": ""6:00 AM"", ""Bhog Aarti"": ""1:30 PM"", ""Sandhya Aarti"": ""7:00 PM""}","{""Darshan"": ""6:00 AM - 9:00 PM""}",Reach via Rampurhat railway station (9 km). Direct express trains connect Kolkata (Howrah/Sealdah) to Rampurhat.,24.1147,87.8003,+91-3461-253222,,[],True
shaktipeeth-ambaji-temple-gujarat,Ambaji Temple – Gujarat,Shakti Peetha,Ambaji,Banaskantha,Gujarat,India,Goddess Amba,Ambaji Temple in Banaskantha district near Aravalli hills marks where Sati's heart fell. The shrine contains no idol; devotees worship the holy sacred gold-plated Viso Yantra.,"{""Morning Aarti"": ""7:00 AM"", ""Rajbhog Aarti"": ""12:30 PM"", ""Evening Aarti"": ""7:00 PM""}","{""Darshan"": ""7:00 AM - 11:30 AM, 12:30 PM - 4:30 PM, 7:00 PM - 9:00 PM""}",Located 45 km from Abu Road station and 180 km from Ahmedabad. Visit Gabbar Hill ropeway where the original shrine sits.,24.3317,72.8464,02749 262 129,,[],True
shaktipeeth-vaishno-devi-temple-jammu-kashmir,Vaishno Devi Temple – Jammu & Kashmir,Shakti Peetha,Katra,,Jammu & Kashmir,India,Mata Vaishno Devi,"Mata Vaishno Devi Cave Shrine in the Trikuta Mountains is one of India's most visited pilgrimages. Devotees trek 12 km from Katra base town to seek darshan of Holy Pindis (Maha Kali, Maha Lakshmi, Maha Saraswati).","{""Morning Aarti"": ""6:20 AM"", ""Bhog Aarti"": ""12:00 PM"", ""Evening Aarti"": ""7:20 PM""}","{""Darshan"": ""24 Hours Open""}",Reach Shri Mata Vaishno Devi Katra railway station. Mandatory RFID Yatra Registration Card must be collected before trekking or boarding battery cars/helicopters.,33.0308,74.9492,+91-1991-232029,https://www.youtube.com/embed/live_stream?channel=UC5SVw4I1kK4xB0h60Tdk5lQ,[],True
shaktipeeth-jwala-ji-temple-kangra,Jwala Ji Temple – Kangra,Shakti Peetha,Kangra,,Himachal Pradesh,India,Goddess Jwala Ji,"Jwalamukhi Temple in Kangra Valley, Himachal Pradesh, features natural blue flames burning continuously out of rock fissures without any fuel, representing Sati's tongue.","{""Mangal Aarti"": ""5:00 AM"", ""Bhog Aarti"": ""12:00 PM"", ""Shayan Aarti"": ""9:00 PM""}","{""Darshan"": ""5:00 AM - 10:00 PM""}",Located 30 km from Kangra town and 55 km from Dharamshala. Nearest broad gauge railway station is Pathankot (100 km).,31.8763,76.3228,+91-1892-246025,,[],True
shaktipeeth-chinnamasta-temple-rajarappa,Chinnamasta Temple – Rajrappa,Shakti Peetha,Ramgarh,,Jharkhand,India,Goddess Chinnamastika,Chinnamasta Temple at Rajrappa stands at the scenic confluence of Damodar and Bhairavi rivers in Jharkhand. Dedicated to headless Mahavidya deity Goddess Chinnamastika.,"{""Morning Aarti"": ""5:30 AM"", ""Evening Aarti"": ""6:00 PM""}","{""Darshan"": ""5:00 AM - 8:00 PM""}",Located 28 km from Ramgarh Cantt and 65 km from Ranchi city. Accessible by private taxis and local state transport.,23.6306,85.7139,+91-6553-222111,,[],True
shaktipeeth-mahalaxmi-temple-kolhapur,Mahalaxmi Temple – Kolhapur,Shakti Peetha,Kolhapur,,Maharashtra,India,Goddess Mahalaxmi,Shri Ambabai (Mahalaxmi) Temple in Kolhapur is a landmark Hemadpanthi stone temple where Kirnotsav (sun rays falling directly on deity's face) occurs biannually.,"{""Kakad Aarti"": ""4:30 AM"", ""Madhyan Aarti"": ""11:30 AM"", ""Dhoop Aarti"": ""8:00 PM""}","{""Darshan"": ""4:30 AM - 10:00 PM""}","Situated in Kolhapur city center, 5 km from Kolhapur railway station. Pre-booked online e-pass reduces waiting time.",16.6946,74.2238,+91-231-2541154,,[],True
shaktipeeth-chamundeshwari-temple-mysore,Chamundeshwari Temple – Mysore,Shakti Peetha,Mysuru,,Karnataka,India,Goddess Chamundeshwari,Chamundeshwari Temple atop Chamundi Hills in Mysuru overlooks the Royal City. Celebrates Goddess Durga's victory over demon Mahishasura during grand Mysuru Dasara.,"{""Morning Aarti"": ""7:30 AM"", ""Noon Aarti"": ""12:30 PM"", ""Evening Aarti"": ""7:30 PM""}","{""Darshan"": ""7:30 AM - 2:00 PM, 3:30 PM - 6:00 PM, 7:30 PM - 9:00 PM""}","Drive up Chamundi Hill road (13 km from Mysuru station) or climb 1,000 historic stone steps past the monolith Nandi statue.",12.2753,76.6704,0821 238 2401,,[],True
